id,year,topic,top_terms,count,label_llm
2020:C1,2020,1,妹;様;仕舞う;言う;御前;有る;姉;私-代名詞;結婚;女;婚約;為る;成る;恋;憧れる;話;婚姻;結ぶ;不倫;令嬢;エレン;アンナ;解消;破棄;過ぎる;突然;正妻;父;再婚;家;次女;子爵;母;亡くなる;奪う;ヒロイン-heroine;無い;男爵,37,姉妹の関係性
2020:C2,2020,2,成る;ゲーム-game;世界;有る;此れ;!;悪役;私-代名詞;死ぬ;中;人生;掛ける,21,ゲームの存在と意義
2020:C4,2020,4,転移;者;旅;出る;全て;絶望;スキル-skill;俺;為る,1,絶望の旅路
2020:C5,2020,5,居る;中学;頃;幼馴染み;学校;中;何処;私-代名詞;今日,8,幼馴染みとの再会
2020:C7,2020,7,外れる;スキル-skill;存在;有る;事;アイテム-item,19,スキルの存在と価値
2020:C8,2020,8,猫;成る;為る;鳴く;様;物語,1,猫の物語とその声
2020:C9,2020,9,パーティー-party;追放;最強;元;リーダー-leader;抜ける,31,パーティーの追放と再構築
2020:C10,2020,10,男;世界;人;因る;居る;達;様;転生,2,男たちの転生と世界
2020:C13,2020,13,中学;時代;振る;幼馴染み;仕舞う;高校;居る;失望;為る;事;後悔;告白;俺;思い出;自殺,7,幼馴染との失望と成長
2020:C17,2020,17,此れ;恋;女;らしい;様;奇麗;容姿;端麗;姉妹,6,姉妹の美しさと恋
2020:C26,2020,26,サバイバル-survival;生活;人生;遣り直す;過ごす;為;成る,3,サバイバルと人生の再構築
2020:C46,2020,46,社員;職場;オフィス-office;年下;金髪;美,2,年下社員との職場恋愛
2020:C48,2020,48,ゲーム-game;出る;恋愛;公;使う;令嬢;生まれ変わる,4,恋愛ゲームの新たな展開
2020:C53,2020,53,読む;方;改稿;版;掲載;予定;積り;書く;為る,18,改稿と掲載のプロセス
2020:C83,2020,83,無い;母;子供;居る;人生;満喫;運命;言う;シンデレラ-cinderella;ストーリー-story,4,運命と母の不在
